DateTime,AddedIPs,RemovedIPs
1575398523,121,172
1575400341,8,18
1575400442,98,81
1575402246,5,21
1575404190,171,173
1575405302,51,98
1575406333,8,20
1575406815,50,28
1575407703,66,39
1575408264,14,16
1575408612,39,0
1575410166,7,17
1575412348,186,447
1575413763,95,106
1575414270,11,12
1575414903,67,90
1575415682,44,0
1575416183,8,11
1575416999,72,81
1575418340,375,70
1575420263,87,96
1575420504,81,40
1575422179,97,77
1575424089,83,11
1575426014,159,225
1575427951,79,90
1575428162,69,22
1575429847,9,10
1575430082,84,56
1575431770,20,13
1575432605,105,210
1575433685,13,12
1575433803,53,81
1575435626,17,12
1575436204,100,76
1575437540,19,15
1575439704,131,124
1575440043,30,70
1575440882,49,1
1575441631,11,10
1575441723,33,109
1575443540,15,19
1575445472,180,166
1575446010,52,48
1575447402,88,97
1575447547,0,508
1575448082,44,0
1575449288,19,17
1575449352,61,102
1575451222,17,17
1575451683,126,59
1575453146,11,13
1575453441,68,153
1575454443,46,65
1575455046,7,19
1575456302,58,80
1575456966,59,50
1575458103,51,59
1575459137,10,503
1575459482,66,72
1575459912,0,510
1575461298,277,0
1575461642,101,74
1575463210,18,7
1575465146,145,176
1575466083,48,1
1575467068,40,110
1575468972,75,70
1575469683,34,0
1575469811,0,249
1575470522,36,108
1575471151,14,15
1575472443,171,60
1575473049,8,20
1575473282,74,2
1575474978,11,9
1575475804,150,149
1575477136,71,7
1575477911,758,0
1575479564,16,14
1575479642,109,130
1575481463,7,6
1575483393,168,145
1575483968,53,1
1575485288,12,12
1575486012,43,110
1575487211,47,84
1575489141,43,86
1575490443,89,76
1575491049,7,12
1575491702,42,71
1575492979,9,13
1575493214,33,33
1575494103,62,58
1575494886,8,12
1575495302,36,78
1575496823,7,19
1575498734,117,81
1575499323,91,90
1575500901,23,17
1575501242,88,50
1575502811,20,12
1575502925,92,91
1575503763,47,0
1575504743,269,0
1575504903,51,47
1575506650,16,10
1575506704,91,107
1575507362,37,0
1575508570,24,8
1575510504,67,62
1575510963,140,87
1575512408,72,47
1575513724,85,98
1575514580,26,18
1575515403,64,66
1575516490,19,15
1575518418,62,11
1575519245,102,205
1575520338,37,7
1575520924,35,98
1575521763,21,0
1575522258,8,15
1575522843,52,54
1575524184,17,5
1575524523,67,80
1575525362,41,1
1575526102,14,8
1575526443,47,40
1575527702,44,66
1575528011,20,13
1575529958,74,44
1575530104,50,52
1575531851,15,9
1575533794,133,158
1575535323,113,103
1575535690,10,11
1575537002,58,52
1575537620,13,18
1575538923,78,103
1575539531,7,15
1575539763,26,2
1575541462,8,16
1575542103,87,169
1575542525,19,30
1575543370,7,14
1575544204,63,69
1575545539,6,535
1575546123,56,213
1575546963,25,1
1575547701,291,0
1575548042,36,124
1575549155,51,78
1575549612,12,14
1575549724,19,26
1575551544,3,10
1575551890,46,57
1575553460,99,116
1575555391,91,52
1575557303,44,77
1575558190,57,124
1575559215,10,4
1575559659,47,1
1575561127,7,11
1575563054,879,209
1575563702,50,181
1575564968,8,15
1575565056,50,326
1575566043,37,138
1575566885,9,13
1575567725,62,123
1575568826,42,15
1575569655,46,60
1575570733,17,9
1575570877,44,75
1575572666,8,19
1575573305,87,78
1575574082,20,0
1575574573,10,17
1575575189,26,75
1575576516,7,12
1575576604,42,51
1575578412,12,19
1575579453,107,100
1575580360,6,18
1575580805,72,51
1575582253,4,14
1575582963,84,97
1575584185,47,312
1575584883,23,0
1575586100,13,3
1575588016,89,194
1575588605,37,83
1575589949,13,12
1575590087,43,32
1575591850,268,0
1575592452,75,137
1575594024,14,11
1575595948,59,34
1575597855,140,219
1575599789,80,82
1575600123,19,23
1575600965,21,0
1575601693,9,6
1575602045,44,46
1575603629,18,10
1575605540,113,154
1575605644,8,0
1575607464,15,13
1575609372,69,111
1575609903,124,42
1575611536,10,16
1575612601,0,17962
1575613453,23,13
1575614525,17993,0
1575615383,28,22
