DateTime,AddedIPs,RemovedIPs
1575796322,80,80
1575796922,80,80
1575797523,80,80
1575798122,80,80
1575798722,80,80
1575799322,80,80
1575799922,80,80
1575800522,80,80
1575801122,80,80
1575801722,80,80
1575802322,80,80
1575802923,80,80
1575803522,80,80
1575804122,80,80
1575804722,80,80
1575805322,80,80
1575805922,80,80
1575806521,80,80
1575807122,80,80
1575807723,80,80
1575808322,80,80
1575808922,80,80
1575809522,80,80
1575810123,80,80
1575810723,80,80
1575811322,80,80
1575811922,80,80
1575812522,80,80
1575813122,80,80
1575813722,80,80
1575814322,80,80
1575814922,80,80
1575815522,80,80
1575816122,80,80
1575817322,80,80
1575817922,80,80
1575818522,80,80
1575819122,80,80
1575819722,80,80
1575820322,80,80
1575820922,80,80
1575821522,80,80
1575822122,80,80
1575822722,79,79
1575823322,19,19
1575823922,80,80
1575824522,80,80
1575825122,80,80
1575825722,80,80
1575826323,80,80
1575827522,80,80
1575828122,80,80
1575829322,80,80
1575829922,80,80
1575830522,80,80
1575831122,80,80
1575831722,76,76
1575832322,80,80
1575832922,80,80
1575833522,80,80
1575834122,80,80
1575834722,80,80
1575835322,80,80
1575835922,80,80
1575836522,68,68
1575837122,80,80
1575838322,80,80
1575838922,80,80
1575839522,80,80
1575840122,80,80
1575840722,80,80
1575841322,80,80
1575842522,80,80
1575843122,80,80
1575843722,80,80
1575844322,80,80
1575844921,28,28
1575845522,80,80
1575846122,80,80
1575846722,80,80
1575847321,80,80
1575848522,80,80
1575849122,80,80
1575849722,80,80
1575850322,80,80
1575850922,80,80
1575851522,80,80
1575852123,78,78
1575852722,78,78
1575853323,80,80
1575853922,80,80
1575854522,80,80
1575855122,80,80
1575855722,80,80
1575856322,80,80
1575856922,80,80
1575857522,62,62
1575858122,80,80
1575858722,80,80
1575859322,80,80
1575859922,80,80
1575861123,79,79
1575861722,80,80
1575862322,80,80
1575862922,80,80
1575863523,80,80
1575864122,80,80
1575864723,80,80
1575865322,77,77
1575865922,80,80
1575866523,80,80
1575867122,80,80
1575867722,80,80
1575868322,80,80
1575868922,17,17
1575870122,80,80
1575871321,80,80
1575871922,80,80
1575872522,80,80
1575873122,76,76
1575873722,80,80
1575874322,80,80
1575874922,80,80
1575875521,80,80
1575876122,80,80
1575876722,80,80
1575877322,80,80
1575878522,80,80
1575879122,80,80
1575879721,80,80
1575880322,80,80
1575880922,80,80
1575881522,80,80
1575882122,80,80
1575882722,80,80
1575883322,80,80
1575883922,80,80
1575884523,80,80
1575885122,80,80
1575885722,80,80
1575886322,80,80
1575886922,80,80
1575887522,80,80
1575888122,80,80
1575888722,80,80
1575889922,80,80
1575890522,76,76
