DateTime,Entries,UniqueIPs
1575410166,1266,1266
1575412348,1256,1256
1575414270,1253,1253
1575416183,1247,1247
1575418340,1677,1677
1575420263,1673,1673
1575422179,1673,1673
1575424089,1676,1676
1575426014,1673,1673
1575427951,1681,1681
1575429847,1679,1679
1575431770,1687,1687
1575433685,1694,1694
1575435626,1697,1697
1575437540,1700,1700
1575439704,1702,1702
1575441631,1706,1706
1575443540,1697,1697
1575445472,1699,1699
1575447402,1689,1689
1575449288,1689,1689
1575451222,1692,1692
1575453146,1687,1687
1575455046,1679,1679
1575456966,1667,1667
1575459137,960,960
1575461298,1370,1370
1575463210,1383,1383
1575465146,1397,1397
1575467068,1405,1405
1575468972,1410,1410
1575471151,1407,1407
1575473049,1398,1398
1575474978,1399,1399
1575477136,1408,1408
1575479564,1409,1409
1575481463,1410,1410
1575483393,1413,1413
1575485288,1410,1410
1575487211,1398,1398
1575489141,1395,1395
1575491049,1389,1389
1575492979,1385,1385
1575494886,1380,1380
1575496823,1368,1368
1575498734,1369,1369
1575500901,1374,1374
1575502811,1375,1375
1575504743,1756,1756
1575506650,1765,1765
1575508570,1782,1782
1575510504,1780,1780
1575512408,1792,1792
1575514580,1802,1802
1575516490,1808,1808
1575518418,1819,1819
1575520338,1821,1821
1575522258,1814,1814
1575524184,1829,1829
1575526102,1838,1838
1575528011,1846,1846
1575529958,1855,1855
1575531851,1863,1863
1575533794,1864,1864
1575535690,1867,1867
1575537620,1864,1864
1575539531,1859,1859
1575541462,1851,1851
1575543370,1845,1845
1575545539,1067,1067
1575547701,1511,1511
1575549612,1514,1514
1575551544,1509,1509
1575553460,1507,1507
1575555391,1510,1510
1575557303,1507,1507
1575559215,1506,1506
1575561127,1500,1500
1575563054,1483,1483
1575564968,1475,1475
1575566885,1469,1469
1575568826,1479,1479
1575570733,1485,1485
1575572666,1472,1472
1575574573,1457,1457
1575576516,1449,1449
1575578412,1433,1433
1575580360,1409,1409
1575582253,1391,1391
1575584185,1384,1384
1575586100,1388,1388
1575588016,1380,1380
1575589949,1378,1378
1575591850,1788,1788
1575594024,1791,1791
1575595948,1798,1798
1575597855,1803,1803
1575599789,1812,1812
1575601693,1813,1813
1575603629,1823,1823
1575605540,1824,1824
1575607464,1826,1826
1575609372,1830,1830
1575611536,1821,1821
1575613453,1831,1831
1575615383,1837,1837
1575617287,1834,1834
1575619461,1835,1835
1575621384,1841,1841
1575623304,1824,1824
1575625224,1814,1814
1575627162,1819,1819
1575629051,1824,1824
1575630982,976,976
1575632903,986,986
1575634808,1450,1450
1575636739,1443,1443
1575638648,1449,1449
1575640605,1443,1443
1575642752,1439,1439
1575644672,1436,1436
1575646572,1422,1422
1575648524,1409,1409
1575650669,1403,1403
1575652573,1404,1404
1575654502,1402,1402
1575656685,1399,1399
1575658578,1380,1380
1575660496,1350,1350
1575662419,1333,1333
1575664356,1324,1324
1575666264,1310,1310
1575668194,1303,1303
1575670344,1298,1298
1575672248,1294,1294
1575674173,1291,1291
1575676335,1291,1291
1575678251,1706,1706
1575680182,1701,1701
1575682112,1704,1704
1575684033,1699,1699
1575685938,1696,1696
1575688103,1686,1686
1575690012,1671,1671
1575692183,1669,1669
1575694115,1671,1671
1575696023,1666,1666
1575697932,1674,1674
1575699860,1664,1664
1575701771,1646,1646
1575703697,1625,1625
1575705623,1615,1615
1575707549,1615,1615
1575709719,1604,1604
1575711625,1626,1626
1575713543,1639,1639
1575715462,1639,1639
1575717375,848,848
1575719291,838,838
1575721227,1336,1336
1575723146,1343,1343
1575725049,1337,1337
1575726967,1335,1335
1575728901,1334,1334
1575730811,1328,1328
